.index,.value,.conf_lo,.conf_hi,Month
19/12/2022,0.55155718,-5.299860131,6.402974492,9 months
20/12/2022,0.744676905,-5.106740406,6.596094216,9 months
21/12/2022,0.553514281,-5.29790303,6.404931593,9 months
22/12/2022,0.754126975,-5.097290337,6.605544286,9 months
23/12/2022,0.594359569,-5.257057742,6.44577688,9 months
24/12/2022,0.539741103,-5.311676208,6.391158414,9 months
25/12/2022,0.648316211,-5.2031011,6.499733522,9 months
26/12/2022,0.179482532,-5.671934779,6.030899844,9 months
27/12/2022,0.37573852,-5.475678791,6.227155832,9 months
28/12/2022,0.188711833,-5.662705478,6.040129145,9 months
29/12/2022,0.394428492,-5.456988819,6.245845804,9 months
30/12/2022,0.240694328,-5.610722983,6.092111639,9 months
31/12/2022,0.382514847,-5.468902465,6.233932158,9 months
01/01/2023,1.22019054,-4.631226771,7.071607851,9 months
02/01/2023,1.037986962,-4.81343035,6.889404273,9 months
03/01/2023,1.243473711,-4.6079436,7.094891022,9 months
04/01/2023,1.321610929,-4.529806382,7.173028241,9 months
05/01/2023,1.537763604,-4.313653707,7.389180915,9 months
06/01/2023,1.394952519,-4.456464792,7.24636983,9 months
07/01/2023,1.142724555,-4.708692756,6.994141866,9 months
08/01/2023,1.590256089,-4.261161223,7.4416734,9 months
09/01/2023,1.141823709,-4.709593602,6.993241021,9 months
10/01/2023,1.359332635,-4.492084676,7.210749946,9 months
11/01/2023,1.449543961,-4.40187335,7.300961272,9 months
12/01/2023,1.677731656,-4.173685655,7.529148967,9 months
13/01/2023,1.546825755,-4.304591556,7.398243067,9 months
14/01/2023,1.306283354,-4.545133957,7.157700665,9 months
15/01/2023,1.160499874,-4.690917437,7.011917185,9 months
16/01/2023,0.723051779,-5.128365532,6.574469091,9 months
17/01/2023,0.951068699,-4.900348612,6.802486011,9 months
18/01/2023,1.051232641,-4.80018467,6.902649952,9 months
19/01/2023,1.288742793,-4.562674519,7.140160104,9 months
20/01/2023,1.166459317,-4.684957994,7.017876628,9 months
21/01/2023,0.933774918,-4.917642393,6.785192229,9 months
22/01/2023,1.040720123,-4.810697188,6.892137435,9 months
23/01/2023,0.609432553,-5.241984759,6.460849864,9 months
24/01/2023,0.842690395,-5.008726916,6.694107707,9 months
25/01/2023,0.947138081,-4.90427923,6.798555392,9 months
26/01/2023,1.187944911,-4.6634724,7.039362222,9 months
27/01/2023,1.067949139,-4.783468172,6.919366451,9 months
28/01/2023,0.836529772,-5.01488754,6.687947083,9 months
29/01/2023,1.133234091,-4.71818322,6.984651402,9 months
30/01/2023,0.701158739,-5.150258572,6.552576051,9 months
31/01/2023,0.932615684,-4.918801627,6.784032995,9 months
01/02/2023,1.408144004,-4.443273307,7.259561316,9 months
02/02/2023,1.867679565,-3.983737747,7.719096876,9 months
03/02/2023,1.742998458,-4.108418854,7.594415769,9 months
04/02/2023,1.761304893,-4.090112418,7.612722204,9 months
05/02/2023,1.785873854,-4.065543457,7.637291165,9 months
06/02/2023,1.346632283,-4.504785028,7.198049594,9 months
07/02/2023,1.314927824,-4.536489488,7.166345135,9 months
08/02/2023,1.408085981,-4.44333133,7.259503292,9 months
09/02/2023,1.636091449,-4.215325863,7.48750876,9 months
10/02/2023,1.501905162,-4.349512149,7.353322473,9 months
11/02/2023,1.510335292,-4.341082019,7.361752603,9 months
12/02/2023,1.790490189,-4.060927123,7.6419075,9 months
13/02/2023,1.340918959,-4.510498352,7.19233627,9 months
14/02/2023,1.298809243,-4.552608069,7.150226554,9 months
15/02/2023,1.381590474,-4.469826837,7.233007785,9 months
16/02/2023,1.599352732,-4.252064579,7.450770043,9 months
17/02/2023,1.455163018,-4.396254293,7.306580329,9 months
18/02/2023,1.453935455,-4.397481857,7.305352766,9 months
19/02/2023,1.535361356,-4.316055956,7.386778667,9 months
20/02/2023,1.077137301,-4.774280011,6.928554612,9 months
21/02/2023,1.027029673,-4.824387639,6.878446984,9 months
22/02/2023,1.102565429,-4.748851883,6.95398274,9 months
23/02/2023,1.313928109,-4.537489202,7.16534542,9 months
24/02/2023,1.164273367,-4.687143944,7.015690679,9 months
25/02/2023,1.158598452,-4.69281886,7.010015763,9 months
26/02/2023,0.990978101,-4.86043921,6.842395412,9 months
27/02/2023,0.530565916,-5.320851395,6.381983228,9 months
28/02/2023,0.479497376,-5.371919936,6.330914687,9 months
01/03/2023,1.072505008,-4.778912304,6.923922319,9 months
02/03/2023,1.508003112,-4.343414199,7.359420424,9 months
03/03/2023,1.361361869,-4.490055443,7.21277918,9 months
04/03/2023,1.360092959,-4.491324352,7.21151027,9 months
05/03/2023,1.802981919,-4.048435392,7.654399231,9 months
06/03/2023,1.349804697,-4.501612614,7.201222008,9 months
07/03/2023,1.307387442,-4.54402987,7.158804753,9 months
08/03/2023,1.393299224,-4.458118087,7.244716535,9 months
09/03/2023,1.617746825,-4.233670486,7.469164136,9 months
10/03/2023,1.483889834,-4.367527477,7.335307146,9 months
11/03/2023,1.496709826,-4.354707485,7.348127137,9 months
12/03/2023,1.785461651,-4.065955661,7.636878962,9 months
13/03/2023,1.348812535,-4.502604776,7.200229846,9 months
14/03/2023,1.324038563,-4.527378748,7.175455875,9 months
15/03/2023,1.428626842,-4.422790469,7.280044153,9 months
16/03/2023,1.672693457,-4.178723854,7.524110769,9 months
17/03/2023,1.559299076,-4.292118236,7.410716387,9 months
18/03/2023,1.593318681,-4.25809863,7.444735992,9 months
19/03/2023,1.279155857,-4.572261455,7.130573168,9 months
20/03/2023,0.864833087,-4.986584225,6.716250398,9 months
21/03/2023,0.862763164,-4.988654148,6.714180475,9 months
22/03/2023,0.99030265,-4.861114661,6.841719961,9 months
23/03/2023,1.257433012,-4.593984299,7.108850323,9 months
24/03/2023,1.167077058,-4.684340254,7.018494369,9 months
25/03/2023,1.223969546,-4.627447765,7.075386857,9 months
26/03/2023,1.55710999,-4.294307321,7.408527301,9 months
27/03/2023,1.164903339,-4.686513973,7.01632065,9 months
28/03/2023,1.1843581,-4.667059211,7.035775411,9 months
29/03/2023,1.332690196,-4.518727116,7.184107507,9 months
30/03/2023,1.619742651,-4.231674661,7.471159962,9 months
31/03/2023,1.548302946,-4.303114365,7.399720257,9 months
01/04/2023,1.588815673,-4.262601638,7.440232984,9 months
02/04/2023,2.330435673,-3.520981638,8.181852985,9 months
03/04/2023,1.953360305,-3.898057006,7.804777616,9 months
04/04/2023,2.241741434,-3.609675877,8.093158745,9 months
05/04/2023,2.402101409,-3.449315902,8.25351872,9 months
06/04/2023,2.699478033,-3.151939278,8.550895345,9 months
07/04/2023,2.381275522,-3.47014179,8.232692833,9 months
