.index,.value,.conf_lo,.conf_hi,Month,Entrada,Corriente
14/08/2022,1.2397625,NA,NA,1 month,I1,Promedio
15/08/2022,0.802059722,NA,NA,1 month,I1,Promedio
16/08/2022,0.751621528,NA,NA,1 month,I1,Promedio
17/08/2022,1.469442014,NA,NA,1 month,I1,Promedio
18/08/2022,1.123939236,NA,NA,1 month,I1,Promedio
19/08/2022,0.783787847,NA,NA,1 month,I1,Promedio
20/08/2022,1.290105556,NA,NA,1 month,I1,Promedio
21/08/2022,0.955396181,NA,NA,1 month,I1,Promedio
22/08/2022,1.357744906,NA,NA,1 month,I1,Promedio
23/08/2022,2.597292014,NA,NA,1 month,I1,Promedio
24/08/2022,1.482247569,NA,NA,1 month,I1,Promedio
25/08/2022,2.006594097,NA,NA,1 month,I1,Promedio
26/08/2022,1.991759028,NA,NA,1 month,I1,Promedio
27/08/2022,1.388339583,NA,NA,1 month,I1,Promedio
28/08/2022,1.538382639,NA,NA,1 month,I1,Promedio
29/08/2022,1.116085069,NA,NA,1 month,I1,Promedio
30/08/2022,2.266723264,NA,NA,1 month,I1,Promedio
31/08/2022,1.41150722,NA,NA,1 month,I1,Promedio
01/09/2022,1.830452083,NA,NA,1 month,I1,Promedio
02/09/2022,1.542970213,NA,NA,1 month,I1,Promedio
03/09/2022,0.547424306,NA,NA,1 month,I1,Promedio
04/09/2022,1.745832292,NA,NA,1 month,I1,Promedio
05/09/2022,1.331801736,NA,NA,1 month,I1,Promedio
06/09/2022,0.619145833,NA,NA,1 month,I1,Promedio
07/09/2022,0.8949875,NA,NA,1 month,I1,Promedio
08/09/2022,0.491457292,NA,NA,1 month,I1,Promedio
09/09/2022,2.395101042,NA,NA,1 month,I1,Promedio
10/09/2022,2.84719375,NA,NA,1 month,I1,Promedio
11/09/2022,0.977669792,NA,NA,1 month,I1,Promedio
12/09/2022,0.421713793,NA,NA,1 month,I1,Promedio
13/09/2022,1.247828316,-3.151153936,5.646810568,1 month,I1,Promedio
14/09/2022,1.083228111,-3.315754141,5.482210363,1 month,I1,Promedio
15/09/2022,1.300293475,-3.098688777,5.699275727,1 month,I1,Promedio
16/09/2022,1.161914311,-3.237067941,5.560896563,1 month,I1,Promedio
17/09/2022,1.507612705,-2.891369547,5.906594957,1 month,I1,Promedio
18/09/2022,1.639176628,-2.759805624,6.03815888,1 month,I1,Promedio
19/09/2022,1.193544014,-3.205438238,5.592526266,1 month,I1,Promedio
20/09/2022,1.410712316,-2.988269936,5.809694568,1 month,I1,Promedio
21/09/2022,1.24165056,-3.157331692,5.640632812,1 month,I1,Promedio
22/09/2022,1.454450764,-2.944531488,5.853433017,1 month,I1,Promedio
23/09/2022,1.31201125,-3.086971002,5.710993502,1 month,I1,Promedio
24/09/2022,0.94356221,-3.455420042,5.342544462,1 month,I1,Promedio
25/09/2022,1.071498879,-3.327483373,5.470481131,1 month,I1,Promedio
26/09/2022,0.622466374,-3.776515879,5.021448626,1 month,I1,Promedio
27/09/2022,0.836468719,-3.562513533,5.235450971,1 month,I1,Promedio
28/09/2022,0.664481025,-3.734501228,5.063463277,1 month,I1,Promedio
29/09/2022,0.874600886,-3.524381366,5.273583138,1 month,I1,Promedio
30/09/2022,0.729731694,-3.669250558,5.128713946,1 month,I1,Promedio
01/10/2022,0.941529608,-3.457452644,5.34051186,1 month,I1,Promedio
02/10/2022,1.288294457,-3.110687795,5.687276709,1 month,I1,Promedio
03/10/2022,0.837609444,-3.561372808,5.236591696,1 month,I1,Promedio
04/10/2022,1.050224954,-3.348757298,5.449207206,1 month,I1,Promedio
05/10/2022,1.136621591,-3.262360661,5.535603843,1 month,I1,Promedio
06/10/2022,1.345892621,-3.053089631,5.744874873,1 month,I1,Promedio
07/10/2022,0.940942741,-3.458039511,5.339924993,1 month,I1,Promedio
08/10/2022,1.102283034,-3.296699218,5.501265286,1 month,I1,Promedio
09/10/2022,1.228271059,-3.170711193,5.627253311,1 month,I1,Promedio
10/10/2022,0.777824471,-3.621157781,5.176806723,1 month,I1,Promedio
11/10/2022,0.990949339,-3.408032913,5.389931591,1 month,I1,Promedio
12/10/2022,1.078124816,-3.320857436,5.477107068,1 month,I1,Promedio
12/05/2022,4.707935602,NA,NA,2 months,I1,Promedio
13/05/2022,3.025999306,NA,NA,2 months,I1,Promedio
14/05/2022,2.652584722,NA,NA,2 months,I1,Promedio
15/05/2022,3.176898611,NA,NA,2 months,I1,Promedio
16/05/2022,3.199274306,NA,NA,2 months,I1,Promedio
17/05/2022,2.775901389,NA,NA,2 months,I1,Promedio
18/05/2022,2.69595625,NA,NA,2 months,I1,Promedio
19/05/2022,2.640545139,NA,NA,2 months,I1,Promedio
20/05/2022,1.935965972,NA,NA,2 months,I1,Promedio
21/05/2022,2.38895415,NA,NA,2 months,I1,Promedio
24/05/2022,0.762715966,NA,NA,2 months,I1,Promedio
25/05/2022,2.151674306,NA,NA,2 months,I1,Promedio
26/05/2022,2.745491111,NA,NA,2 months,I1,Promedio
31/05/2022,0.794618182,NA,NA,2 months,I1,Promedio
01/06/2022,2.029339024,NA,NA,2 months,I1,Promedio
02/06/2022,2.484563542,NA,NA,2 months,I1,Promedio
03/06/2022,2.88139375,NA,NA,2 months,I1,Promedio
04/06/2022,2.595713194,NA,NA,2 months,I1,Promedio
05/06/2022,2.010494444,NA,NA,2 months,I1,Promedio
06/06/2022,2.638295833,NA,NA,2 months,I1,Promedio
07/06/2022,2.779093056,NA,NA,2 months,I1,Promedio
08/06/2022,1.428313986,NA,NA,2 months,I1,Promedio
09/06/2022,0.914211458,NA,NA,2 months,I1,Promedio
10/06/2022,2.171935069,NA,NA,2 months,I1,Promedio
11/06/2022,2.765937847,NA,NA,2 months,I1,Promedio
12/06/2022,2.286890625,NA,NA,2 months,I1,Promedio
13/06/2022,1.559672917,NA,NA,2 months,I1,Promedio
14/06/2022,0.494092014,NA,NA,2 months,I1,Promedio
15/06/2022,1.289817822,NA,NA,2 months,I1,Promedio
16/06/2022,1.545923684,NA,NA,2 months,I1,Promedio
17/06/2022,1.698937153,NA,NA,2 months,I1,Promedio
18/06/2022,1.368589583,NA,NA,2 months,I1,Promedio
19/06/2022,0.893864931,NA,NA,2 months,I1,Promedio
20/06/2022,2.145393056,NA,NA,2 months,I1,Promedio
21/06/2022,0.387551389,NA,NA,2 months,I1,Promedio
22/06/2022,0.623340278,NA,NA,2 months,I1,Promedio
23/06/2022,1.670668403,NA,NA,2 months,I1,Promedio
24/06/2022,1.394745833,NA,NA,2 months,I1,Promedio
25/06/2022,1.258885417,NA,NA,2 months,I1,Promedio
26/06/2022,1.804852431,NA,NA,2 months,I1,Promedio
27/06/2022,1.018317708,NA,NA,2 months,I1,Promedio
28/06/2022,1.217724306,NA,NA,2 months,I1,Promedio
29/06/2022,1.737663889,NA,NA,2 months,I1,Promedio
30/06/2022,2.712030061,NA,NA,2 months,I1,Promedio
01/07/2022,2.231082759,NA,NA,2 months,I1,Promedio
02/07/2022,1.901282986,NA,NA,2 months,I1,Promedio
03/07/2022,2.300810764,NA,NA,2 months,I1,Promedio
04/07/2022,0.824482986,NA,NA,2 months,I1,Promedio
05/07/2022,1.447805903,NA,NA,2 months,I1,Promedio
06/07/2022,1.542794444,NA,NA,2 months,I1,Promedio
07/07/2022,0.855107292,NA,NA,2 months,I1,Promedio
08/07/2022,1.538985417,NA,NA,2 months,I1,Promedio
09/07/2022,1.206404167,NA,NA,2 months,I1,Promedio
10/07/2022,2.258291667,NA,NA,2 months,I1,Promedio
11/07/2022,1.820593056,NA,NA,2 months,I1,Promedio
12/07/2022,1.849984028,NA,NA,2 months,I1,Promedio
13/07/2022,1.723466667,NA,NA,2 months,I1,Promedio
14/07/2022,1.156826042,NA,NA,2 months,I1,Promedio
15/07/2022,0.386513889,NA,NA,2 months,I1,Promedio
16/07/2022,1.292538542,NA,NA,2 months,I1,Promedio
17/07/2022,2.503977778,NA,NA,2 months,I1,Promedio
18/07/2022,0.450251042,NA,NA,2 months,I1,Promedio
19/07/2022,2.400854514,NA,NA,2 months,I1,Promedio
20/07/2022,1.86106875,NA,NA,2 months,I1,Promedio
21/07/2022,3.167716319,NA,NA,2 months,I1,Promedio
22/07/2022,2.406262847,NA,NA,2 months,I1,Promedio
23/07/2022,1.837045139,NA,NA,2 months,I1,Promedio
24/07/2022,1.641955556,NA,NA,2 months,I1,Promedio
25/07/2022,0.815207986,NA,NA,2 months,I1,Promedio
26/07/2022,2.833456944,NA,NA,2 months,I1,Promedio
27/07/2022,1.91151195,NA,NA,2 months,I1,Promedio
28/07/2022,1.945563366,NA,NA,2 months,I1,Promedio
29/07/2022,0.544959375,NA,NA,2 months,I1,Promedio
30/07/2022,1.5553875,NA,NA,2 months,I1,Promedio
31/07/2022,3.001889083,NA,NA,2 months,I1,Promedio
01/08/2022,0.30229661,NA,NA,2 months,I1,Promedio
02/08/2022,1.293307292,NA,NA,2 months,I1,Promedio
03/08/2022,2.780509375,NA,NA,2 months,I1,Promedio
04/08/2022,1.637516319,NA,NA,2 months,I1,Promedio
05/08/2022,2.548803819,NA,NA,2 months,I1,Promedio
06/08/2022,2.017529167,NA,NA,2 months,I1,Promedio
07/08/2022,1.309562153,NA,NA,2 months,I1,Promedio
08/08/2022,1.717640625,NA,NA,2 months,I1,Promedio
09/08/2022,1.532463542,NA,NA,2 months,I1,Promedio
10/08/2022,1.569150347,NA,NA,2 months,I1,Promedio
11/08/2022,1.485265278,NA,NA,2 months,I1,Promedio
12/08/2022,1.576089236,NA,NA,2 months,I1,Promedio
13/08/2022,1.639046875,NA,NA,2 months,I1,Promedio
14/08/2022,1.2397625,NA,NA,2 months,I1,Promedio
15/08/2022,0.802059722,NA,NA,2 months,I1,Promedio
16/08/2022,0.751621528,NA,NA,2 months,I1,Promedio
17/08/2022,1.469442014,NA,NA,2 months,I1,Promedio
18/08/2022,1.123939236,NA,NA,2 months,I1,Promedio
19/08/2022,0.783787847,NA,NA,2 months,I1,Promedio
20/08/2022,1.290105556,NA,NA,2 months,I1,Promedio
21/08/2022,0.955396181,NA,NA,2 months,I1,Promedio
22/08/2022,1.357744906,NA,NA,2 months,I1,Promedio
23/08/2022,2.597292014,NA,NA,2 months,I1,Promedio
24/08/2022,1.482247569,NA,NA,2 months,I1,Promedio
25/08/2022,2.006594097,NA,NA,2 months,I1,Promedio
26/08/2022,1.991759028,NA,NA,2 months,I1,Promedio
27/08/2022,1.388339583,NA,NA,2 months,I1,Promedio
28/08/2022,1.538382639,NA,NA,2 months,I1,Promedio
29/08/2022,1.116085069,NA,NA,2 months,I1,Promedio
30/08/2022,2.266723264,NA,NA,2 months,I1,Promedio
31/08/2022,1.41150722,NA,NA,2 months,I1,Promedio
01/09/2022,1.830452083,NA,NA,2 months,I1,Promedio
02/09/2022,1.542970213,NA,NA,2 months,I1,Promedio
03/09/2022,0.547424306,NA,NA,2 months,I1,Promedio
04/09/2022,1.745832292,NA,NA,2 months,I1,Promedio
05/09/2022,1.331801736,NA,NA,2 months,I1,Promedio
06/09/2022,0.619145833,NA,NA,2 months,I1,Promedio
07/09/2022,0.8949875,NA,NA,2 months,I1,Promedio
08/09/2022,0.491457292,NA,NA,2 months,I1,Promedio
09/09/2022,2.395101042,NA,NA,2 months,I1,Promedio
10/09/2022,2.84719375,NA,NA,2 months,I1,Promedio
11/09/2022,0.977669792,NA,NA,2 months,I1,Promedio
12/09/2022,0.421713793,NA,NA,2 months,I1,Promedio
13/09/2022,1.247828316,-3.151153936,5.646810568,2 months,I1,Promedio
14/09/2022,1.083228111,-3.315754141,5.482210363,2 months,I1,Promedio
15/09/2022,1.300293475,-3.098688777,5.699275727,2 months,I1,Promedio
16/09/2022,1.161914311,-3.237067941,5.560896563,2 months,I1,Promedio
17/09/2022,1.507612705,-2.891369547,5.906594957,2 months,I1,Promedio
18/09/2022,1.639176628,-2.759805624,6.03815888,2 months,I1,Promedio
19/09/2022,1.193544014,-3.205438238,5.592526266,2 months,I1,Promedio
20/09/2022,1.410712316,-2.988269936,5.809694568,2 months,I1,Promedio
21/09/2022,1.24165056,-3.157331692,5.640632812,2 months,I1,Promedio
22/09/2022,1.454450764,-2.944531488,5.853433017,2 months,I1,Promedio
23/09/2022,1.31201125,-3.086971002,5.710993502,2 months,I1,Promedio
24/09/2022,0.94356221,-3.455420042,5.342544462,2 months,I1,Promedio
25/09/2022,1.071498879,-3.327483373,5.470481131,2 months,I1,Promedio
26/09/2022,0.622466374,-3.776515879,5.021448626,2 months,I1,Promedio
27/09/2022,0.836468719,-3.562513533,5.235450971,2 months,I1,Promedio
28/09/2022,0.664481025,-3.734501228,5.063463277,2 months,I1,Promedio
29/09/2022,0.874600886,-3.524381366,5.273583138,2 months,I1,Promedio
30/09/2022,0.729731694,-3.669250558,5.128713946,2 months,I1,Promedio
01/10/2022,0.941529608,-3.457452644,5.34051186,2 months,I1,Promedio
02/10/2022,1.288294457,-3.110687795,5.687276709,2 months,I1,Promedio
03/10/2022,0.837609444,-3.561372808,5.236591696,2 months,I1,Promedio
04/10/2022,1.050224954,-3.348757298,5.449207206,2 months,I1,Promedio
05/10/2022,1.136621591,-3.262360661,5.535603843,2 months,I1,Promedio
06/10/2022,1.345892621,-3.053089631,5.744874873,2 months,I1,Promedio
07/10/2022,0.940942741,-3.458039511,5.339924993,2 months,I1,Promedio
08/10/2022,1.102283034,-3.296699218,5.501265286,2 months,I1,Promedio
09/10/2022,1.228271059,-3.170711193,5.627253311,2 months,I1,Promedio
10/10/2022,0.777824471,-3.621157781,5.176806723,2 months,I1,Promedio
11/10/2022,0.990949339,-3.408032913,5.389931591,2 months,I1,Promedio
12/10/2022,1.078124816,-3.320857436,5.477107068,2 months,I1,Promedio
13/10/2022,1.288442169,-3.110540083,5.687424421,2 months,I1,Promedio
14/10/2022,0.884803552,-3.5141787,5.283785804,2 months,I1,Promedio
15/10/2022,0.693478037,-3.705504215,5.092460289,2 months,I1,Promedio
16/10/2022,0.821297443,-3.57768481,5.220279695,2 months,I1,Promedio
17/10/2022,0.372936354,-4.026045898,4.771918607,2 months,I1,Promedio
18/10/2022,0.588396195,-3.810586057,4.987378447,2 months,I1,Promedio
19/10/2022,0.678150961,-3.720831291,5.077133213,2 months,I1,Promedio
20/10/2022,0.891286266,-3.507695986,5.290268518,2 months,I1,Promedio
21/10/2022,0.490698124,-3.908284128,4.889680376,2 months,I1,Promedio
22/10/2022,0.656887927,-3.742094325,5.055870179,2 months,I1,Promedio
23/10/2022,0.788202546,-3.610779706,5.187184798,2 months,I1,Promedio
24/10/2022,0.343547976,-4.055434277,4.742530228,2 months,I1,Promedio
25/10/2022,0.562917674,-3.836064578,4.961899926,2 months,I1,Promedio
26/10/2022,0.656777253,-3.742204999,5.055759505,2 months,I1,Promedio
27/10/2022,0.874203537,-3.524778715,5.273185789,2 months,I1,Promedio
28/10/2022,0.478083363,-3.92089889,4.877065615,2 months,I1,Promedio
29/10/2022,0.506121343,-3.892860909,4.905103595,2 months,I1,Promedio
30/10/2022,0.642228897,-3.756753355,5.041211149,2 months,I1,Promedio
31/10/2022,0.202514549,-4.196467703,4.601496801,2 months,I1,Promedio
01/11/2022,0.766837679,-3.632144573,5.165819931,2 months,I1,Promedio
02/11/2022,1.141829341,-3.257152911,5.540811593,2 months,I1,Promedio
03/11/2022,1.36457318,-3.034409072,5.763555432,2 months,I1,Promedio
04/11/2022,1.233376992,-3.16560526,5.632359244,2 months,I1,Promedio
05/11/2022,0.877445396,-3.521536856,5.276427648,2 months,I1,Promedio
06/11/2022,1.019145408,-3.379836844,5.41812766,2 months,I1,Promedio
07/11/2022,0.325588241,-4.073394011,4.724570493,2 months,I1,Promedio
08/11/2022,0.555750769,-3.843231483,4.954733021,2 months,I1,Promedio
09/11/2022,0.660572288,-3.738409964,5.059554541,2 months,I1,Promedio
10/11/2022,0.889105996,-3.509876256,5.288088248,2 months,I1,Promedio
11/11/2022,0.763717832,-3.63526442,5.162700084,2 months,I1,Promedio
12/11/2022,1.123899609,-3.275082643,5.522881861,2 months,I1,Promedio
12/05/2022,4.707935602,NA,NA,3 months,I1,Promedio
13/05/2022,3.025999306,NA,NA,3 months,I1,Promedio
14/05/2022,2.652584722,NA,NA,3 months,I1,Promedio
15/05/2022,3.176898611,NA,NA,3 months,I1,Promedio
16/05/2022,3.199274306,NA,NA,3 months,I1,Promedio
17/05/2022,2.775901389,NA,NA,3 months,I1,Promedio
18/05/2022,2.69595625,NA,NA,3 months,I1,Promedio
19/05/2022,2.640545139,NA,NA,3 months,I1,Promedio
20/05/2022,1.935965972,NA,NA,3 months,I1,Promedio
21/05/2022,2.38895415,NA,NA,3 months,I1,Promedio
24/05/2022,0.762715966,NA,NA,3 months,I1,Promedio
25/05/2022,2.151674306,NA,NA,3 months,I1,Promedio
26/05/2022,2.745491111,NA,NA,3 months,I1,Promedio
31/05/2022,0.794618182,NA,NA,3 months,I1,Promedio
01/06/2022,2.029339024,NA,NA,3 months,I1,Promedio
02/06/2022,2.484563542,NA,NA,3 months,I1,Promedio
03/06/2022,2.88139375,NA,NA,3 months,I1,Promedio
04/06/2022,2.595713194,NA,NA,3 months,I1,Promedio
05/06/2022,2.010494444,NA,NA,3 months,I1,Promedio
06/06/2022,2.638295833,NA,NA,3 months,I1,Promedio
07/06/2022,2.779093056,NA,NA,3 months,I1,Promedio
08/06/2022,1.428313986,NA,NA,3 months,I1,Promedio
09/06/2022,0.914211458,NA,NA,3 months,I1,Promedio
10/06/2022,2.171935069,NA,NA,3 months,I1,Promedio
11/06/2022,2.765937847,NA,NA,3 months,I1,Promedio
12/06/2022,2.286890625,NA,NA,3 months,I1,Promedio
13/06/2022,1.559672917,NA,NA,3 months,I1,Promedio
14/06/2022,0.494092014,NA,NA,3 months,I1,Promedio
15/06/2022,1.289817822,NA,NA,3 months,I1,Promedio
16/06/2022,1.545923684,NA,NA,3 months,I1,Promedio
17/06/2022,1.698937153,NA,NA,3 months,I1,Promedio
18/06/2022,1.368589583,NA,NA,3 months,I1,Promedio
19/06/2022,0.893864931,NA,NA,3 months,I1,Promedio
20/06/2022,2.145393056,NA,NA,3 months,I1,Promedio
21/06/2022,0.387551389,NA,NA,3 months,I1,Promedio
22/06/2022,0.623340278,NA,NA,3 months,I1,Promedio
23/06/2022,1.670668403,NA,NA,3 months,I1,Promedio
24/06/2022,1.394745833,NA,NA,3 months,I1,Promedio
25/06/2022,1.258885417,NA,NA,3 months,I1,Promedio
26/06/2022,1.804852431,NA,NA,3 months,I1,Promedio
27/06/2022,1.018317708,NA,NA,3 months,I1,Promedio
28/06/2022,1.217724306,NA,NA,3 months,I1,Promedio
29/06/2022,1.737663889,NA,NA,3 months,I1,Promedio
30/06/2022,2.712030061,NA,NA,3 months,I1,Promedio
01/07/2022,2.231082759,NA,NA,3 months,I1,Promedio
02/07/2022,1.901282986,NA,NA,3 months,I1,Promedio
03/07/2022,2.300810764,NA,NA,3 months,I1,Promedio
04/07/2022,0.824482986,NA,NA,3 months,I1,Promedio
05/07/2022,1.447805903,NA,NA,3 months,I1,Promedio
06/07/2022,1.542794444,NA,NA,3 months,I1,Promedio
07/07/2022,0.855107292,NA,NA,3 months,I1,Promedio
08/07/2022,1.538985417,NA,NA,3 months,I1,Promedio
09/07/2022,1.206404167,NA,NA,3 months,I1,Promedio
10/07/2022,2.258291667,NA,NA,3 months,I1,Promedio
11/07/2022,1.820593056,NA,NA,3 months,I1,Promedio
12/07/2022,1.849984028,NA,NA,3 months,I1,Promedio
13/07/2022,1.723466667,NA,NA,3 months,I1,Promedio
14/07/2022,1.156826042,NA,NA,3 months,I1,Promedio
15/07/2022,0.386513889,NA,NA,3 months,I1,Promedio
16/07/2022,1.292538542,NA,NA,3 months,I1,Promedio
17/07/2022,2.503977778,NA,NA,3 months,I1,Promedio
18/07/2022,0.450251042,NA,NA,3 months,I1,Promedio
19/07/2022,2.400854514,NA,NA,3 months,I1,Promedio
20/07/2022,1.86106875,NA,NA,3 months,I1,Promedio
21/07/2022,3.167716319,NA,NA,3 months,I1,Promedio
22/07/2022,2.406262847,NA,NA,3 months,I1,Promedio
23/07/2022,1.837045139,NA,NA,3 months,I1,Promedio
24/07/2022,1.641955556,NA,NA,3 months,I1,Promedio
25/07/2022,0.815207986,NA,NA,3 months,I1,Promedio
26/07/2022,2.833456944,NA,NA,3 months,I1,Promedio
27/07/2022,1.91151195,NA,NA,3 months,I1,Promedio
28/07/2022,1.945563366,NA,NA,3 months,I1,Promedio
29/07/2022,0.544959375,NA,NA,3 months,I1,Promedio
30/07/2022,1.5553875,NA,NA,3 months,I1,Promedio
31/07/2022,3.001889083,NA,NA,3 months,I1,Promedio
01/08/2022,0.30229661,NA,NA,3 months,I1,Promedio
02/08/2022,1.293307292,NA,NA,3 months,I1,Promedio
03/08/2022,2.780509375,NA,NA,3 months,I1,Promedio
04/08/2022,1.637516319,NA,NA,3 months,I1,Promedio
05/08/2022,2.548803819,NA,NA,3 months,I1,Promedio
06/08/2022,2.017529167,NA,NA,3 months,I1,Promedio
07/08/2022,1.309562153,NA,NA,3 months,I1,Promedio
08/08/2022,1.717640625,NA,NA,3 months,I1,Promedio
09/08/2022,1.532463542,NA,NA,3 months,I1,Promedio
10/08/2022,1.569150347,NA,NA,3 months,I1,Promedio
11/08/2022,1.485265278,NA,NA,3 months,I1,Promedio
12/08/2022,1.576089236,NA,NA,3 months,I1,Promedio
13/08/2022,1.639046875,NA,NA,3 months,I1,Promedio
14/08/2022,1.2397625,NA,NA,3 months,I1,Promedio
15/08/2022,0.802059722,NA,NA,3 months,I1,Promedio
16/08/2022,0.751621528,NA,NA,3 months,I1,Promedio
17/08/2022,1.469442014,NA,NA,3 months,I1,Promedio
18/08/2022,1.123939236,NA,NA,3 months,I1,Promedio
19/08/2022,0.783787847,NA,NA,3 months,I1,Promedio
20/08/2022,1.290105556,NA,NA,3 months,I1,Promedio
21/08/2022,0.955396181,NA,NA,3 months,I1,Promedio
22/08/2022,1.357744906,NA,NA,3 months,I1,Promedio
23/08/2022,2.597292014,NA,NA,3 months,I1,Promedio
24/08/2022,1.482247569,NA,NA,3 months,I1,Promedio
25/08/2022,2.006594097,NA,NA,3 months,I1,Promedio
26/08/2022,1.991759028,NA,NA,3 months,I1,Promedio
